no,time,src,src_port,dst,dst_port,protocol,length,info
16,0.02928,192.168.80.16,,192.168.80.17,,SMB,141,"Tree Connect AndX Request, Path: \\192.168.80.17\IPC$"
17,0.029413,192.168.80.17,,192.168.80.16,,SMB,116,Tree Connect AndX Response
18,0.029595,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=834 Ack=745 Win=64128 Len=0 TSval=2580198291 TSecr=80734
19,0.033161,192.168.80.16,,192.168.80.17,,SMB Pipe,144,"PeekNamedPipe Request, FID: 0x0000"
20,0.033334,192.168.80.17,,192.168.80.16,,SMB,105,"Trans Response, Error: STATUS_INSUFF_SERVER_RESOURCES"
21,0.033422,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=912 Ack=784 Win=64128 Len=0 TSval=2580198295 TSecr=80734
22,0.03436,192.168.80.16,39075,192.168.80.17,135,TCP,74,39075 -> 135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580198296 TSecr=0 WS=128
23,0.034493,192.168.80.17,135,192.168.80.16,39075,TCP,74,"135 -> 39075 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=80734 TSecr=2580198296"
24,0.0346,192.168.80.16,39075,192.168.80.17,135,TCP,66,39075 -> 135 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580198296 TSecr=80734
25,0.035003,192.168.80.16,,192.168.80.17,,DCERPC,138,"Bind: call_id: 0, Fragment: Single, 1 context items: EPMv4 V3.0 (64bit NDR)"
26,0.035198,192.168.80.17,,192.168.80.16,,DCERPC,126,"Bind_ack: call_id: 0, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance"
27,0.035361,192.168.80.16,39075,192.168.80.17,135,TCP,66,39075 -> 135 [ACK] Seq=73 Ack=61 Win=64256 Len=0 TSval=2580198297 TSecr=80734
28,0.035545,192.168.80.16,39075,192.168.80.17,135,TCP,66,"39075 -> 135 [FIN, ACK] Seq=73 Ack=61 Win=64256 Len=0 TSval=2580198297 TSecr=80734"
29,0.035733,192.168.80.17,135,192.168.80.16,39075,TCP,66,135 -> 39075 [ACK] Seq=61 Ack=74 Win=66560 Len=0 TSval=80735 TSecr=2580198297
30,0.035804,192.168.80.17,135,192.168.80.16,39075,TCP,66,"135 -> 39075 [FIN, ACK] Seq=61 Ack=74 Win=66560 Len=0 TSval=80735 TSecr=2580198297"
31,0.036024,192.168.80.16,39075,192.168.80.17,135,TCP,66,39075 -> 135 [ACK] Seq=74 Ack=62 Win=64256 Len=0 TSval=2580198297 TSecr=80735
32,0.038601,192.168.80.16,,192.168.80.17,,SMB,149,"Trans2 Request, SESSION_SETUP"
33,0.038767,192.168.80.17,,192.168.80.16,,SMB,105,"Trans2 Response, SESSION_SETUP, Error: STATUS_NOT_IMPLEMENTED"
34,0.038851,192.168.80.16,36109,192.168.80.17,445,TCP,66,36109 -> 445 [ACK] Seq=995 Ack=823 Win=64128 Len=0 TSval=2580198300 TSecr=80735
35,0.039542,192.168.80.16,36109,192.168.80.17,445,TCP,66,"36109 -> 445 [FIN, ACK] Seq=995 Ack=823 Win=64128 Len=0 TSval=2580198301 TSecr=80735"
36,0.039657,192.168.80.17,445,192.168.80.16,36109,TCP,66,445 -> 36109 [ACK] Seq=823 Ack=996 Win=65536 Len=0 TSval=80735 TSecr=2580198301
37,0.039971,192.168.80.17,445,192.168.80.16,36109,TCP,54,"445 -> 36109 [RST, ACK] Seq=823 Ack=996 Win=0 Len=0"
38,0.088213,192.168.80.16,33795,192.168.80.17,445,TCP,74,33795 -> 445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580198349 TSecr=0 WS=128
39,0.088383,192.168.80.17,445,192.168.80.16,33795,TCP,74,"445 -> 33795 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=80740 TSecr=2580198349"
40,0.088474,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580198350 TSecr=80740
41,0.089371,192.168.80.16,,192.168.80.17,,SMB,154,Negotiate Protocol Request
42,0.090005,192.168.80.17,,192.168.80.16,,SMB,197,Negotiate Protocol Response
43,0.090162,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=89 Ack=132 Win=64128 Len=0 TSval=2580198351 TSecr=80740
44,0.097173,192.168.80.16,,192.168.80.17,,SMB,213,"Session Setup AndX Request, NTLMSSP_NEGOTIATE"
45,0.097624,192.168.80.17,,192.168.80.16,,SMB,443,"Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
46,0.09783,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=236 Ack=509 Win=64128 Len=0 TSval=2580198359 TSecr=80740
47,0.099887,192.168.80.16,,192.168.80.17,,SMB,486,"Session Setup AndX Request, NTLMSSP_AUTH, User: .\"
48,0.10056,192.168.80.17,,192.168.80.16,,SMB,105,"Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
49,0.100766,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=656 Ack=548 Win=64128 Len=0 TSval=2580198362 TSecr=80740
50,0.103359,192.168.80.16,,192.168.80.17,,SMB,169,"Session Setup AndX Request, User: .\"
51,0.103597,192.168.80.17,,192.168.80.16,,SMB,213,Session Setup AndX Response
52,0.103703,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=759 Ack=695 Win=64128 Len=0 TSval=2580198365 TSecr=80740
53,0.105086,192.168.80.16,,192.168.80.17,,SMB,141,"Tree Connect AndX Request, Path: \\192.168.80.17\IPC$"
54,0.105332,192.168.80.17,,192.168.80.16,,SMB,116,Tree Connect AndX Response
55,0.105442,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=834 Ack=745 Win=64128 Len=0 TSval=2580198367 TSecr=80742
56,0.107359,192.168.80.16,,192.168.80.17,,SMB Pipe,144,"PeekNamedPipe Request, FID: 0x0000"
57,0.107596,192.168.80.17,,192.168.80.16,,SMB,105,"Trans Response, Error: STATUS_INSUFF_SERVER_RESOURCES"
58,0.107729,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=912 Ack=784 Win=64128 Len=0 TSval=2580198369 TSecr=80742
59,0.108985,192.168.80.16,43955,192.168.80.17,135,TCP,74,43955 -> 135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580198370 TSecr=0 WS=128
60,0.109145,192.168.80.17,135,192.168.80.16,43955,TCP,74,"135 -> 43955 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=80742 TSecr=2580198370"
61,0.109256,192.168.80.16,43955,192.168.80.17,135,TCP,66,43955 -> 135 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580198371 TSecr=80742
62,0.109578,192.168.80.16,,192.168.80.17,,DCERPC,138,"Bind: call_id: 0, Fragment: Single, 1 context items: EPMv4 V3.0 (64bit NDR)"
63,0.109777,192.168.80.17,,192.168.80.16,,DCERPC,126,"Bind_ack: call_id: 0, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance"
64,0.109949,192.168.80.16,43955,192.168.80.17,135,TCP,66,43955 -> 135 [ACK] Seq=73 Ack=61 Win=64256 Len=0 TSval=2580198371 TSecr=80742
65,0.110358,192.168.80.16,43955,192.168.80.17,135,TCP,66,"43955 -> 135 [FIN, ACK] Seq=73 Ack=61 Win=64256 Len=0 TSval=2580198372 TSecr=80742"
66,0.110626,192.168.80.17,135,192.168.80.16,43955,TCP,66,135 -> 43955 [ACK] Seq=61 Ack=74 Win=66560 Len=0 TSval=80742 TSecr=2580198372
67,0.110779,192.168.80.17,135,192.168.80.16,43955,TCP,66,"135 -> 43955 [FIN, ACK] Seq=61 Ack=74 Win=66560 Len=0 TSval=80742 TSecr=2580198372"
68,0.111181,192.168.80.16,43955,192.168.80.17,135,TCP,66,43955 -> 135 [ACK] Seq=74 Ack=62 Win=64256 Len=0 TSval=2580198372 TSecr=80742
69,0.114987,192.168.80.16,,192.168.80.17,,SMB,149,"Trans2 Request, SESSION_SETUP"
70,0.115143,192.168.80.17,,192.168.80.16,,SMB,105,"Trans2 Response, SESSION_SETUP, Error: STATUS_NOT_IMPLEMENTED"
71,0.115241,192.168.80.16,33795,192.168.80.17,445,TCP,66,33795 -> 445 [ACK] Seq=995 Ack=823 Win=64128 Len=0 TSval=2580198377 TSecr=80742
72,0.116177,192.168.80.16,33795,192.168.80.17,445,TCP,66,"33795 -> 445 [FIN, ACK] Seq=995 Ack=823 Win=64128 Len=0 TSval=2580198377 TSecr=80742"
73,0.116291,192.168.80.17,445,192.168.80.16,33795,TCP,66,445 -> 33795 [ACK] Seq=823 Ack=996 Win=65536 Len=0 TSval=80743 TSecr=2580198377
74,0.116598,192.168.80.17,445,192.168.80.16,33795,TCP,54,"445 -> 33795 [RST, ACK] Seq=823 Ack=996 Win=0 Len=0"
75,0.118941,192.168.80.16,37997,192.168.80.17,445,TCP,74,37997 -> 445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580198380 TSecr=0 WS=128
76,0.119487,192.168.80.17,445,192.168.80.16,37997,TCP,74,"445 -> 37997 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=80743 TSecr=2580198380"
77,0.11972,192.168.80.16,37997,192.168.80.17,445,TCP,66,37997 -> 445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580198381 TSecr=80743
78,0.122425,192.168.80.16,,192.168.80.17,,SMB,117,Negotiate Protocol Request
79,0.122923,192.168.80.17,,192.168.80.16,,SMB,197,Negotiate Protocol Response
80,0.123056,192.168.80.16,37997,192.168.80.17,445,TCP,66,37997 -> 445 [ACK] Seq=52 Ack=132 Win=64128 Len=0 TSval=2580198384 TSecr=80743
81,0.125158,192.168.80.16,,192.168.80.17,,SMB,202,"Session Setup AndX Request, User: anonymous"
82,0.125394,192.168.80.17,,192.168.80.16,,SMB,213,Session Setup AndX Response
83,0.125504,192.168.80.16,37997,192.168.80.17,445,TCP,66,37997 -> 445 [ACK] Seq=188 Ack=279 Win=64128 Len=0 TSval=2580198387 TSecr=80743
84,0.130858,192.168.80.16,,192.168.80.17,,SMB,141,"Tree Connect AndX Request, Path: \\192.168.80.17\IPC$"
85,0.131048,192.168.80.17,,192.168.80.16,,SMB,124,Tree Connect AndX Response
86,0.131148,192.168.80.16,37997,192.168.80.17,445,TCP,66,37997 -> 445 [ACK] Seq=263 Ack=337 Win=64128 Len=0 TSval=2580198392 TSecr=80744
87,0.143052,192.168.80.16,,192.168.80.17,,SMB,1150,"NT Trans Request, <unknown>"
88,0.143315,192.168.80.17,,192.168.80.16,,SMB,105,"NT Trans Response, <unknown (0)>"
89,0.14344,192.168.80.16,37997,192.168.80.17,445,TCP,66,37997 -> 445 [ACK] Seq=1347 Ack=376 Win=64128 Len=0 TSval=2580198405 TSecr=80745
90,0.177195,192.168.80.16,Session,192.168.80.17,[TCP,TCP,1514,Session message [TCP segment of a reassembled PDU]
91,0.177228,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=2795 Ack=376 Win=64128 Len=1448 TSval=2580198438 TSecr=80745 [TCP segment of a reassembled PDU]
92,0.177242,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
93,0.177253,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=5691 Ack=376 Win=64128 Len=1448 TSval=2580198438 TSecr=80745 [TCP segment of a reassembled PDU]
94,0.177263,192.168.80.16,37997,192.168.80.17,445,TCP,1514,"37997 -> 445 [PSH, ACK] Seq=7139 Ack=376 Win=64128 Len=1448 TSval=2580198438 TSecr=80745 [TCP segment of a reassembled PDU]"
95,0.177379,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=5500 Win=66560 Len=0 TSval=80749 TSecr=2580198438
96,0.177443,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=8587 Win=66560 Len=0 TSval=80749 TSecr=2580198438
97,0.177535,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
98,0.177685,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=10035 Ack=376 Win=64128 Len=1448 TSval=2580198439 TSecr=80745 [TCP segment of a reassembled PDU]
99,0.177701,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=11483 Ack=376 Win=64128 Len=1448 TSval=2580198439 TSecr=80745 [TCP segment of a reassembled PDU]
100,0.177738,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
101,0.177807,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=12931 Win=66560 Len=0 TSval=80749 TSecr=2580198439
102,0.177928,192.168.80.16,37997,192.168.80.17,445,TCP,1514,"37997 -> 445 [PSH, ACK] Seq=14379 Ack=376 Win=64128 Len=1448 TSval=2580198439 TSecr=80745 [TCP segment of a reassembled PDU]"
103,0.178057,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=15827 Win=66560 Len=0 TSval=80749 TSecr=2580198439
104,0.17876,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=15827 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]
105,0.178813,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
106,0.178864,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=18723 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]
107,0.178913,192.168.80.16,37997,192.168.80.17,445,TCP,1514,"37997 -> 445 [PSH, ACK] Seq=20171 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]"
108,0.179038,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=20171 Win=66560 Len=0 TSval=80749 TSecr=2580198440
109,0.179211,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
110,0.179261,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=23067 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]
111,0.179306,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=24515 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]
112,0.179353,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
113,0.179367,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=23067 Win=66560 Len=0 TSval=80749 TSecr=2580198440
114,0.179558,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=27411 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]
115,0.179575,192.168.80.16,37997,192.168.80.17,445,TCP,1514,"37997 -> 445 [PSH, ACK] Seq=28859 Ack=376 Win=64128 Len=1448 TSval=2580198440 TSecr=80749 [TCP segment of a reassembled PDU]"
116,0.179716,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=26265 Win=66560 Len=0 TSval=80749 TSecr=2580198440
117,0.179813,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=30307 Win=66560 Len=0 TSval=80749 TSecr=2580198440
118,0.179932,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
119,0.180006,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=31755 Ack=376 Win=64128 Len=1448 TSval=2580198441 TSecr=80749 [TCP segment of a reassembled PDU]
120,0.180067,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
121,0.180105,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=33203 Win=66560 Len=0 TSval=80749 TSecr=2580198441
122,0.180155,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=34651 Ack=376 Win=64128 Len=1448 TSval=2580198441 TSecr=80749 [TCP segment of a reassembled PDU]
123,0.180202,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=36099 Ack=376 Win=64128 Len=1448 TSval=2580198441 TSecr=80749 [TCP segment of a reassembled PDU]
124,0.18022,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=36099 Win=66560 Len=0 TSval=80749 TSecr=2580198441
125,0.180263,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
126,0.180349,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=38995 Win=66560 Len=0 TSval=80749 TSecr=2580198441
127,0.180787,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=38995 Ack=376 Win=64128 Len=1448 TSval=2580198442 TSecr=80749 [TCP segment of a reassembled PDU]
128,0.180867,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=40443 Ack=376 Win=64128 Len=1448 TSval=2580198442 TSecr=80749 [TCP segment of a reassembled PDU]
129,0.180907,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
130,0.180954,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=41891 Win=66560 Len=0 TSval=80749 TSecr=2580198442
131,0.181061,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=43339 Ack=376 Win=64128 Len=1448 TSval=2580198442 TSecr=80749 [TCP segment of a reassembled PDU]
132,0.181143,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=44787 Win=66560 Len=0 TSval=80749 TSecr=2580198442
133,0.181171,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=44787 Ack=376 Win=64128 Len=1448 TSval=2580198442 TSecr=80749 [TCP segment of a reassembled PDU]
134,0.181209,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
135,0.181263,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=47683 Win=66560 Len=0 TSval=80749 TSecr=2580198442
136,0.181355,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=47683 Ack=376 Win=64128 Len=1448 TSval=2580198443 TSecr=80749 [TCP segment of a reassembled PDU]
137,0.181455,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=49131 Ack=376 Win=64128 Len=1448 TSval=2580198443 TSecr=80749 [TCP segment of a reassembled PDU]
138,0.181556,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
139,0.181619,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=50579 Win=66560 Len=0 TSval=80749 TSecr=2580198443
140,0.181813,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=52027 Ack=376 Win=64128 Len=1448 TSval=2580198443 TSecr=80749 [TCP segment of a reassembled PDU]
141,0.181899,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=53475 Win=66560 Len=0 TSval=80749 TSecr=2580198443
142,0.181964,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=53475 Ack=376 Win=64128 Len=1448 TSval=2580198443 TSecr=80749 [TCP segment of a reassembled PDU]
143,0.181997,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
144,0.182065,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=56371 Win=66560 Len=0 TSval=80749 TSecr=2580198443
145,0.182315,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=56371 Ack=376 Win=64128 Len=1448 TSval=2580198444 TSecr=80749 [TCP segment of a reassembled PDU]
146,0.182345,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=57819 Ack=376 Win=64128 Len=1448 TSval=2580198444 TSecr=80749 [TCP segment of a reassembled PDU]
147,0.182359,192.168.80.16,,192.168.80.17,,SMB,1514,"Trans2 Secondary Request, FID: 0x0000Session message [TCP segment of a reassembled PDU]"
148,0.182387,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=60715 Ack=376 Win=64128 Len=1448 TSval=2580198444 TSecr=80749 [TCP segment of a reassembled PDU]
149,0.182458,192.168.80.16,37997,192.168.80.17,445,TCP,1514,37997 -> 445 [ACK] Seq=62163 Ack=376 Win=64128 Len=1448 TSval=2580198444 TSecr=80749 [TCP segment of a reassembled PDU]
150,0.182562,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=59489 Win=66560 Len=0 TSval=80749 TSecr=2580198444
151,0.182565,192.168.80.16,,192.168.80.17,,SMB,97,"Trans2 Secondary Request, FID: 0x0000"
152,0.18261,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=63611 Win=66560 Len=0 TSval=80749 TSecr=2580198444
153,0.388561,192.168.80.17,445,192.168.80.16,37997,TCP,66,445 -> 37997 [ACK] Seq=376 Ack=63642 Win=66560 Len=0 TSval=80770 TSecr=2580198444
154,0.394966,192.168.80.16,[TCP,192.168.80.17,Retransmission],TCP,97,"[TCP Spurious Retransmission] 37997 -> 445 [PSH, ACK] Seq=63611 Ack=376 Win=64128 Len=31 TSval=2580198656 TSecr=80749"
155,0.395104,192.168.80.17,[TCP,192.168.80.16,ACK,TCP,78,[TCP Dup ACK 153#1] 445 -> 37997 [ACK] Seq=376 Ack=63642 Win=66560 Len=0 TSval=80770 TSecr=2580198444 SLE=63611 SRE=63642
156,10.184548,192.168.80.16,,192.168.80.17,,SMB,119,Echo Request
157,10.184711,192.168.80.17,,192.168.80.16,,SMB,119,Echo Response
158,10.188504,192.168.80.16,36371,192.168.80.17,445,TCP,74,36371 -> 445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580208450 TSecr=0 WS=128
159,10.188651,192.168.80.17,445,192.168.80.16,36371,TCP,74,"445 -> 36371 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=81750 TSecr=2580208450"
160,10.188785,192.168.80.16,36371,192.168.80.17,445,TCP,66,36371 -> 445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580208450 TSecr=81750
161,10.19083,192.168.80.16,,192.168.80.17,,SMB,117,Negotiate Protocol Request
162,10.191274,192.168.80.17,,192.168.80.16,,SMB,197,Negotiate Protocol Response
163,10.191411,192.168.80.16,36371,192.168.80.17,445,TCP,66,36371 -> 445 [ACK] Seq=52 Ack=132 Win=64128 Len=0 TSval=2580208453 TSecr=81750
164,10.198084,192.168.80.16,,192.168.80.17,,SMB,151,Session Setup AndX Request
165,10.198337,192.168.80.17,,192.168.80.16,,SMB,315,Session Setup AndX Response
166,10.198477,192.168.80.16,36371,192.168.80.17,445,TCP,66,36371 -> 445 [ACK] Seq=137 Ack=381 Win=64128 Len=0 TSval=2580208460 TSecr=81751
167,10.199986,192.168.80.16,45037,192.168.80.17,445,TCP,74,45037 -> 445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2580208461 TSecr=0 WS=128
168,10.200223,192.168.80.17,445,192.168.80.16,45037,TCP,74,"445 -> 45037 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=81751 TSecr=2580208461"
169,10.200374,192.168.80.16,45037,192.168.80.17,445,TCP,66,45037 -> 445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2580208462 TSecr=81751
